	w	g	rdiv	ldiv
207	a2**3*a3**3	a2**-1*a3**4	True	False
208	a2**-1*a3*a4*a1*a2*a3**-1	a2**-1*a3**2*a4*a2**-1	True	False
209	a2*a3*a1**-1*a3*a1*a3**-1	a3*a1**-1*a3*a4*a2**-1	True	False
210	a2*a4**-1*a1**-1*a2*a3**2	a2*a3**-1*a4**-1*a2**2	True	False
211	a2**-1*a4**2*a1**2*a3**-1	a2**-1*a3*a4**2*a2**-1	True	False
212	a2**-1*a3*a0*a5*a2*a3**-1	a2**-1*a3*a5*a2**-1*a3	True	False
213	a2*a4**-1*a0*a5*a4*a2**-1	a2*a4**-1*a0*a1*a3**-1	True	False
214	a3*a0**-1*a4*a0*a1*a3**-1	a3*a0**-1*a5*a4*a2**-1	True	False
215	a2*a4**-1*a1*a4**2*a2**-1	a2*a4**-1*a1**2*a3**-1	True	False
216	a2*a3*a4**-1*a2*a4*a2**-1	a2*a4**-1*a1*a2*a3**-1	True	False
217	a3*a0*a1**-1*a5*a1*a3**-1	a3*a0*a1**-1*a4*a2**-1	True	False
218	a3*a4*a1*a3**-1	a3*a4*a1*a4*a2**-1	False	False
219	a3*a4*a1*a4*a1*a3**-1	a3*a4*a1*a4*a2**-1	False	False
220	a3*a1**-1*a4*a1**2*a3**-1	a3*a1**-1*a4**2*a2**-1	True	False
221	a3*a0*a1**-1*a5*a1*a3**-1	a3*a1**-1*a4*a5*a2**-1	True	False
222	a2*a5**-1*a2*a3*a5*a2**-1	a2*a5**-1*a2*a0*a3**-1	True	False
223	a2*a5**-1*a2*a3*a5*a2**-1	a2*a5**-1*a3*a0*a3**-1	True	False
224	a3*a0**-1*a2*a3*a0*a3**-1	a3*a0**-1*a2*a5*a2**-1	True	False
225	a3*a0**-1*a2*a3*a0*a3**-1	a3*a0**-1*a3*a5*a2**-1	True	False
226	a3*a0*a5*a3**-1	a3*a5**3*a2**-1	False	False
227	a3*a0**2*a5**2*a3**-1	a3*a5**3*a2**-1	False	False
228	a2*a3	a3**5	False	False
229	a2**2*a3**2	a3**5	False	False
230	a2**3*a3**3	a3**5	False	False
231	a3*a4**-1*a2*a4	a3**3*a4**-1*a1	False	False
232	a3**2*a4**-1*a2**2*a4	a3**3*a4**-1*a1	False	False
